Order_ID,Product_Name,Category,Quantity_Sold,Price,Sales_Amount,Order_Date,Region
ORD-000051,Formal Shirt,Clothing,3.0,964.38,2893.14,2023-04-29,North
ORD-000052,Desk Lamp,Home & Kitchen,4.0,623.12,2492.48,2023-12-18,South
ORD-000053,SQL Handbook,Books,3.0,487.56,1462.68,2023-02-22,South
ORD-000054,USB-C Cable,Electronics,2.0,184.79,369.58,2023-05-14,West
ORD-000055,Water Bottle Sport,Sports,1.0,304.53,304.53,2024-07-28,Central
ORD-000056,Cotton T-Shirt,Clothing,3.0,446.32,1338.96,2024-01-14,North
ORD-000057,Blender,Home & Kitchen,2.0,1733.83,3467.66,2023-02-10,
ORD-000058,USB-C Cable,Electronics,5.0,193.41,967.05,2024-07-27,East
ORD-000059,Winter Jacket,Clothing,1.0,3825.22,3825.22,2023-06-16,Central
ORD-000060,HD Webcam,Electronics,1.0,1168.22,1168.22,2023-12-07,West
ORD-000061,Formal Shirt,Clothing,2.0,793.3,1586.6,2023-06-13,Central
ORD-000062,Web Development,Books,2.0,690.68,1381.36,2023-07-24,South
ORD-000063,Winter Jacket,Clothing,1.0,3392.42,3392.42,2023-01-25,South
ORD-000064,Power Bank 10000mAh,Electronics,5.0,871.94,4359.7,2023-12-26,Central
ORD-000065,Gym Gloves,Sports,3.0,569.42,1708.26,2023-01-29,North
ORD-000066,Non-Stick Pan,Home & Kitchen,1.0,762.01,762.01,2023-04-22,West
ORD-000067,Data Science Guide,Books,2.0,724.71,1449.42,2024-01-30,North
ORD-000068,Python Programming,Books,1.0,605.91,605.91,2024-06-16,
ORD-000069,Sports Shorts,Clothing,2.0,733.44,1466.88,2024-03-17,South
ORD-000070,Coffee Maker,Home & Kitchen,1.0,2624.12,2624.12,2023-11-04,South
ORD-000071,Air Purifier,Home & Kitchen,1.0,5659.41,5659.41,2023-07-16,West
ORD-000072,Formal Shirt,Clothing,3.0,764.26,2292.78,2024-02-20,South
ORD-000073,AI Foundations,Books,1.0,1051.64,1051.64,2024-04-21,East
ORD-000074,Denim Jeans,Clothing,1.0,1350.81,1350.81,2023-10-18,South
ORD-000075,Formal Shirt,Clothing,5.0,803.89,4019.45,2023-08-19,North
ORD-000076,Data Science Guide,Books,1.0,830.1,830.1,2024-04-11,North
ORD-000077,Cloud Computing,Books,1.0,784.07,784.07,2024-02-14,North
ORD-000078,Laptop Stand,Electronics,2.0,1251.13,2502.26,2023-08-13,East
ORD-000079,Bluetooth Speaker,Electronics,1.0,1962.76,1962.76,2023-05-05,West
ORD-000080,Gym Gloves,Sports,4.0,531.83,2127.32,2024-03-29,East
ORD-000081,Jump Rope,Sports,2.0,296.73,593.46,2023-06-12,South
ORD-000082,Formal Shirt,Clothing,2.0,828.67,1657.34,2024-06-17,South
ORD-000083,Desk Lamp,Home & Kitchen,1.0,669.63,669.63,2023-10-06,North
ORD-000084,Winter Jacket,Clothing,1.0,3715.68,3715.68,2024-01-28,North
ORD-000085,AI Foundations,Books,1.0,867.81,867.81,2024-07-09,West
ORD-000086,Python Programming,Books,3.0,510.21,1530.63,2024-08-12,South
ORD-000087,Statistics Book,Books,1.0,657.98,657.98,2024-07-05,East
ORD-000088,Sunglasses,Clothing,1.0,795.56,795.56,2023-08-13,South
ORD-000089,Machine Learning,Books,3.0,1028.65,3085.95,2024-04-23,East
ORD-000090,Python Programming,Books,1.0,533.54,533.54,2023-03-27,East
ORD-000091,Power Bank 10000mAh,Electronics,2.0,886.78,1773.56,2024-01-24,South
ORD-000092,SQL Handbook,Books,5.0,436.41,2182.05,2024-03-07,North
ORD-000093,Yoga Mat,Sports,2.0,782.66,1565.32,2023-12-25,Central
ORD-000094,Wireless Mouse,Electronics,1.0,385.25,385.25,2023-09-11,North
ORD-000095,Sunglasses,Clothing,1.0,906.33,906.33,2024-11-16,East
ORD-000096,Blender,Home & Kitchen,1.0,2163.19,2163.19,2023-06-21,West
ORD-000097,Formal Shirt,Clothing,4.0,1014.67,4058.68,2023-04-21,East
ORD-000098,Statistics Book,Books,5.0,686.11,3430.55,2023-07-23,East
ORD-000099,Power Bank 10000mAh,Electronics,3.0,796.8,2390.4,2024-12-01,Central
ORD-000100,USB-C Cable,Electronics,4.0,191.27,765.08,2024-06-29,East
ORD-000101,Non-Stick Pan,Home & Kitchen,2.0,704.45,1408.9,2024-03-06,Central
ORD-000102,Machine Learning,Books,2.0,904.87,1809.74,2024-03-21,West
ORD-000103,Jump Rope,Sports,3.0,319.72,959.16,2024-04-21,South
ORD-000104,Denim Jeans,Clothing,5.0,1199.18,5995.9,2023-10-13,East
ORD-000105,Water Bottle Sport,Sports,6.0,385.74,2314.44,2023-12-11,North
ORD-000106,Sports Shorts,Clothing,1.0,778.75,778.75,2023-09-22,West
ORD-000107,Non-Stick Pan,Home & Kitchen,1.0,699.67,699.67,2024-06-13,West
ORD-000108,Web Development,Books,3.0,743.42,2230.26,2024-12-08,South
ORD-000109,USB Keyboard,Electronics,1.0,687.4,687.4,2023-10-29,South
ORD-000110,Gym Gloves,Sports,1.0,475.61,475.61,2024-04-29,Central
ORD-000111,Gym Gloves,Sports,2.0,464.71,929.42,2023-12-27,South
ORD-000112,Bluetooth Speaker,Electronics,2.0,1819.37,3638.74,2023-11-20,West
ORD-000113,Winter Jacket,Clothing,1.0,3264.39,3264.39,2023-08-10,East
ORD-000114,Resistance Bands,Sports,1.0,374.61,374.61,2023-04-13,South
ORD-000115,Non-Stick Pan,Home & Kitchen,5.0,744.9,3724.5,2024-12-26,Central
ORD-000116,Resistance Bands,Sports,4.0,415.5,1662.0,2024-12-15,West
ORD-000117,Wireless Mouse,Electronics,1.0,447.13,447.13,2024-08-10,South
ORD-000118,Power Bank 10000mAh,Electronics,4.0,781.77,3127.08,2024-05-04,East
ORD-000119,Yoga Mat,Sports,1.0,915.95,915.95,2023-06-05,South
ORD-000120,Denim Jeans,Clothing,2.0,1340.43,2680.86,2024-07-25,West
ORD-000121,Sneakers,Clothing,1.0,1877.47,1877.47,2024-04-06,East
ORD-000122,SQL Handbook,Books,4.0,515.41,2061.64,2024-08-05,West
ORD-000123,Winter Jacket,Clothing,1.0,3139.01,3139.01,2023-09-28,North
ORD-000124,HD Webcam,Electronics,1.0,1268.17,1268.17,2023-01-03,East
ORD-000125,Bluetooth Speaker,Electronics,1.0,1909.61,1909.61,2023-10-23,East
ORD-000126,Formal Shirt,Clothing,1.0,980.96,980.96,2024-10-02,North
ORD-000127,Bluetooth Speaker,Electronics,1.0,1673.44,1673.44,2024-10-25,North
ORD-000128,HD Webcam,Electronics,1.0,1316.73,1316.73,2023-11-11,Central
ORD-000129,Data Science Guide,Books,3.0,846.88,2540.64,2024-04-24,Central
ORD-000130,Jump Rope,Sports,2.0,257.73,515.46,2024-03-24,South
ORD-000131,Storage Containers,Home & Kitchen,,397.36,1192.08,2023-01-27,West
ORD-000132,Yoga Mat,Sports,1.0,919.56,919.56,2024-11-19,West
ORD-000133,Sunglasses,Clothing,2.0,898.73,1797.46,2024-06-15,North
ORD-000134,Water Bottle Sport,Sports,2.0,398.11,796.22,2024-10-12,East
ORD-000135,AI Foundations,Books,1.0,1106.21,1106.21,2023-11-25,South
ORD-000136,SQL Handbook,Books,1.0,545.94,545.94,2024-11-09,East
ORD-000137,Data Science Guide,Books,4.0,706.94,2827.76,2023-11-19,West
ORD-000138,Yoga Mat,Sports,6.0,888.75,5332.5,2024-11-04,North
ORD-000139,Gym Gloves,Sports,1.0,517.77,517.77,2024-09-29,West
ORD-000140,Formal Shirt,Clothing,1.0,841.83,841.83,2024-07-16,Central
ORD-000141,Data Science Guide,Books,1.0,825.1,825.1,2023-01-30,North
ORD-000142,Formal Shirt,Clothing,1.0,874.19,874.19,2024-07-18,North
ORD-000143,Headphones,Electronics,1.0,1344.29,1344.29,2023-05-01,Central
ORD-000144,Storage Containers,Home & Kitchen,2.0,399.28,798.56,2024-03-01,North
ORD-000145,Cricket Bat,Sports,1.0,1543.69,1543.69,2024-01-28,West
ORD-000146,Denim Jeans,Clothing,1.0,1437.11,1437.11,2023-10-10,South
ORD-000147,Resistance Bands,Sports,5.0,374.89,1874.45,2023-01-03,East
ORD-000148,Machine Learning,Books,1.0,857.23,857.23,2024-04-02,East
ORD-000149,Water Bottle Sport,Sports,4.0,387.7,1550.8,2024-04-11,Central
ORD-000150,Sneakers,Clothing,4.0,1945.49,7781.96,2023-08-28,South
ORD-000151,Statistics Book,Books,2.0,705.93,1411.86,2024-01-31,West
ORD-000152,Sunglasses,Clothing,3.0,910.55,2731.65,2023-02-07,South
ORD-000153,Headphones,Electronics,2.0,1480.62,2961.24,2023-04-13,West
ORD-000154,Machine Learning,Books,1.0,1025.54,1025.54,2023-03-18,South
ORD-000155,Data Science Guide,Books,5.0,885.13,4425.65,2023-12-03,South
ORD-000156,Towel Set,Home & Kitchen,1.0,521.45,521.45,2024-07-08,West
ORD-000157,Desk Lamp,Home & Kitchen,4.0,526.84,2107.36,2023-04-03,West
ORD-000158,Headphones,Electronics,,1681.54,1681.54,2023-06-20,North
ORD-000159,Power Bank 10000mAh,Electronics,3.0,803.41,2410.23,2024-01-03,East
ORD-000160,Cricket Bat,Sports,1.0,1548.24,1548.24,2023-06-24,South
ORD-000161,Sunglasses,Clothing,1.0,789.69,789.69,2024-08-20,South
ORD-000162,Non-Stick Pan,Home & Kitchen,2.0,841.57,1683.14,2024-04-21,North
ORD-000163,AI Foundations,Books,,1137.47,1137.47,2024-08-24,West
ORD-000164,SQL Handbook,Books,1.0,551.89,551.89,2023-07-23,North
ORD-000165,AI Foundations,Books,2.0,1058.72,2117.44,2024-08-11,North
ORD-000166,SQL Handbook,Books,2.0,526.81,1053.62,2023-01-09,West
ORD-000167,Headphones,Electronics,4.0,1378.55,5514.2,2023-10-21,West
ORD-000168,Winter Jacket,Clothing,1.0,3767.28,3767.28,2024-09-27,West
ORD-000169,Denim Jeans,Clothing,1.0,1224.54,1224.54,2024-10-04,South
ORD-000170,Gym Gloves,Sports,2.0,468.33,936.66,2023-05-15,West
ORD-000171,Winter Jacket,Clothing,1.0,3894.17,3894.17,2023-05-16,South
ORD-000172,Resistance Bands,Sports,1.0,437.87,437.87,2023-06-18,East
ORD-000173,Blender,Home & Kitchen,1.0,1657.05,1657.05,2023-04-28,West
ORD-000174,Sneakers,Clothing,1.0,2173.32,2173.32,2024-07-24,North
ORD-000175,Dumbbells Set,Sports,1.0,2685.68,2685.68,2024-04-10,South
ORD-000176,AI Foundations,Books,2.0,990.45,1980.9,2023-04-21,East
ORD-000177,Gym Gloves,Sports,2.0,433.61,867.22,2024-09-16,West
ORD-000178,Water Bottle,Home & Kitchen,3.0,339.03,1017.09,2023-04-30,South
ORD-000179,Data Science Guide,Books,1.0,808.0,808.0,2023-04-10,South
ORD-000180,Water Bottle,Home & Kitchen,3.0,268.01,804.03,2024-08-24,South
ORD-000181,Headphones,Electronics,3.0,1703.18,5109.54,2024-09-22,North
ORD-000182,Desk Lamp,Home & Kitchen,3.0,551.58,1654.74,2024-03-30,South
ORD-000183,Blender,Home & Kitchen,1.0,1722.28,1722.28,2023-03-04,North
ORD-000184,Data Science Guide,Books,3.0,,2497.32,2024-11-09,Central
ORD-000185,USB-C Cable,Electronics,2.0,216.13,432.26,2023-09-07,North
ORD-000186,Football,Sports,1.0,887.62,887.62,2024-08-23,South
ORD-000187,Cotton T-Shirt,Clothing,4.0,445.81,1783.24,2023-10-11,North
ORD-000188,Air Purifier,Home & Kitchen,1.0,4287.81,4287.81,2023-04-23,North
ORD-000189,Sports Shorts,Clothing,3.0,605.14,1815.42,2023-01-17,West
ORD-000190,Dumbbells Set,Sports,4.0,2707.43,10829.72,2023-03-07,East
ORD-000191,Headphones,Electronics,3.0,1551.8,4655.4,2024-05-30,West
ORD-000192,Resistance Bands,Sports,1.0,342.88,342.88,2024-04-14,Central
ORD-000193,Statistics Book,Books,3.0,690.35,2071.05,2024-12-03,South
ORD-000194,USB-C Cable,Electronics,,176.68,883.4,2024-09-14,East
ORD-000195,Gym Gloves,Sports,2.0,503.57,1007.14,2024-01-26,East
ORD-000196,Water Bottle Sport,Sports,8.0,308.63,2469.04,2023-04-12,West
ORD-000197,Football,Sports,1.0,733.92,733.92,2024-03-16,South
ORD-000198,Statistics Book,Books,2.0,612.5,1225.0,2024-03-01,South
ORD-000199,Blender,Home & Kitchen,2.0,1884.34,3768.68,2023-06-06,North
ORD-000200,USB Keyboard,Electronics,1.0,,696.57,2024-03-18,West
ORD-000201,Yoga Mat,Sports,3.0,915.64,2746.92,2024-08-23,West
ORD-000202,AI Foundations,Books,4.0,975.9,3903.6,2024-11-12,Central
ORD-000203,Power Bank 10000mAh,Electronics,1.0,792.09,792.09,2024-09-06,East
ORD-000204,Sunglasses,Clothing,1.0,763.07,763.07,2023-08-18,East
ORD-000205,Power Bank 10000mAh,Electronics,3.0,879.88,2639.64,2024-08-10,East
ORD-000206,Yoga Mat,Sports,1.0,987.86,987.86,2024-09-15,South
ORD-000207,Formal Shirt,Clothing,1.0,1012.69,1012.69,2024-12-20,South
ORD-000208,Running Shoes,Clothing,1.0,2176.32,2176.32,2024-08-02,West
ORD-000209,USB Keyboard,Electronics,1.0,634.37,634.37,2024-06-27,South
ORD-000210,Storage Containers,Home & Kitchen,8.0,356.08,2848.64,2023-11-29,North
ORD-000211,HD Webcam,Electronics,2.0,1037.91,2075.82,2023-06-11,North
ORD-000212,Statistics Book,Books,2.0,632.29,1264.58,2024-05-12,North
ORD-000213,Dumbbells Set,Sports,1.0,2336.5,2336.5,2023-12-20,West
ORD-000214,SQL Handbook,Books,1.0,571.52,571.52,2023-02-16,North
ORD-000215,Formal Shirt,Clothing,1.0,970.24,970.24,2023-08-05,South
ORD-000216,Wireless Mouse,Electronics,1.0,406.22,406.22,2024-05-24,South
ORD-000217,Sports Shorts,Clothing,1.0,749.76,749.76,2023-03-15,South
ORD-000218,Data Science Guide,Books,2.0,816.59,1633.18,2023-11-17,West
ORD-000219,SQL Handbook,Books,3.0,568.79,1706.37,2023-04-28,North
ORD-000220,Jump Rope,Sports,1.0,262.06,262.06,2024-12-07,West
ORD-000221,Sneakers,Clothing,1.0,1746.31,1746.31,2024-08-26,Central
ORD-000222,Desk Lamp,Home & Kitchen,2.0,522.88,1045.76,2023-12-08,West
ORD-000223,Football,Sports,1.0,908.84,908.84,2023-12-24,West
ORD-000224,Winter Jacket,Clothing,1.0,3181.23,3181.23,2023-04-16,East
ORD-000225,HD Webcam,Electronics,1.0,1291.6,1291.6,2024-10-05,West
ORD-000226,AI Foundations,Books,,980.95,980.95,2024-10-04,East
ORD-000227,Storage Containers,Home & Kitchen,2.0,349.77,699.54,2024-08-28,South
ORD-000228,Python Programming,Books,2.0,560.74,1121.48,2023-02-28,West
ORD-000229,Laptop Stand,Electronics,2.0,1249.9,2499.8,2024-04-18,West
ORD-000230,Headphones,Electronics,1.0,1419.69,1419.69,2024-08-08,East
ORD-000231,Cotton T-Shirt,Clothing,2.0,558.75,1117.5,2024-04-06,South
ORD-000232,HD Webcam,Electronics,1.0,1177.59,1177.59,2023-02-10,South
ORD-000233,Cricket Bat,Sports,2.0,1401.37,2802.74,2024-01-08,South
ORD-000234,Non-Stick Pan,Home & Kitchen,2.0,694.95,1389.9,2024-10-08,North
ORD-000235,SQL Handbook,Books,3.0,522.44,1567.32,2023-09-16,Central
ORD-000236,Sports Shorts,Clothing,1.0,623.81,623.81,2023-03-25,South
ORD-000237,Machine Learning,Books,1.0,787.0,787.0,2024-09-01,East
ORD-000238,Air Purifier,Home & Kitchen,1.0,5669.53,5669.53,2024-11-17,Central
ORD-000239,Dumbbells Set,Sports,1.0,2505.36,2505.36,2024-10-23,North
ORD-000240,Air Purifier,Home & Kitchen,1.0,5398.15,5398.15,2023-08-08,North
ORD-000241,Running Shoes,Clothing,1.0,2715.0,2715.0,2023-03-21,East
ORD-000242,Yoga Mat,Sports,1.0,970.82,970.82,2024-11-08,North
ORD-000243,Machine Learning,Books,1.0,951.01,951.01,2023-06-16,East
ORD-000244,Sunglasses,Clothing,4.0,841.27,3365.08,2023-02-14,North
ORD-000245,SQL Handbook,Books,1.0,459.95,459.95,2024-04-04,Central
ORD-000246,Web Development,Books,4.0,713.77,2855.08,2024-01-12,South
ORD-000247,Water Bottle,Home & Kitchen,2.0,340.82,681.64,2024-05-29,West
ORD-000248,Cricket Bat,Sports,1.0,1490.27,1490.27,2023-09-14,South
ORD-000249,USB Keyboard,Electronics,2.0,583.76,1167.52,2023-10-19,South
ORD-000250,Cricket Bat,Sports,1.0,1683.6,1683.6,2024-03-23,West
ORD-000251,Non-Stick Pan,Home & Kitchen,1.0,799.48,799.48,2024-02-29,North
ORD-000252,USB-C Cable,Electronics,1.0,224.72,224.72,2023-08-18,West
ORD-000253,Air Purifier,Home & Kitchen,1.0,5624.97,5624.97,2023-05-21,East
ORD-000254,Sunglasses,Clothing,1.0,896.28,896.28,2024-04-04,North
ORD-000255,Running Shoes,Clothing,1.0,2580.63,2580.63,2024-07-15,South
ORD-000256,Desk Lamp,Home & Kitchen,3.0,552.0,1656.0,2023-11-05,West
ORD-000257,Jump Rope,Sports,4.0,335.34,1341.36,2023-03-06,East
ORD-000258,Bluetooth Speaker,Electronics,1.0,1530.84,1530.84,2023-05-28,South
ORD-000259,Water Bottle Sport,Sports,4.0,305.61,1222.44,2023-07-11,Central
ORD-000260,Wireless Mouse,Electronics,2.0,388.38,776.76,2024-02-04,South
ORD-000261,Storage Containers,Home & Kitchen,2.0,303.72,607.44,2023-01-17,North
ORD-000262,USB-C Cable,Electronics,1.0,201.75,201.75,2023-05-17,West
ORD-000263,Sunglasses,Clothing,3.0,722.84,2168.52,2024-12-13,North
ORD-000264,Python Programming,Books,2.0,651.31,1302.62,2023-10-28,Central
ORD-000265,Storage Containers,Home & Kitchen,1.0,382.02,382.02,2024-06-11,East
ORD-000266,Bluetooth Speaker,Electronics,1.0,1951.65,1951.65,2023-10-20,Central
ORD-000267,Storage Containers,Home & Kitchen,3.0,342.4,1027.2,2023-05-08,South
ORD-000268,Statistics Book,Books,4.0,648.26,2593.04,2023-12-14,East
ORD-000269,Resistance Bands,Sports,4.0,348.6,1394.4,2023-03-26,East
ORD-000270,Formal Shirt,Clothing,3.0,852.59,2557.77,2023-11-25,South
ORD-000271,Statistics Book,Books,3.0,620.1,1860.3,2023-06-20,North
ORD-000272,Water Bottle,Home & Kitchen,2.0,325.15,650.3,2023-10-09,North
ORD-000273,AI Foundations,Books,1.0,1052.77,1052.77,2024-06-09,Central
ORD-000274,Sunglasses,Clothing,3.0,735.72,2207.16,2023-02-05,West
ORD-000275,Water Bottle,Home & Kitchen,4.0,267.91,1071.64,2024-08-03,South
ORD-000276,Blender,Home & Kitchen,1.0,1941.11,1941.11,2024-03-30,East
ORD-000277,AI Foundations,Books,1.0,1137.02,1137.02,2024-10-27,North
ORD-000278,Sunglasses,Clothing,2.0,813.78,1627.56,2024-06-14,South
ORD-000279,Towel Set,Home & Kitchen,3.0,560.47,1681.41,2023-08-08,Central
ORD-000280,Web Development,Books,,609.68,1219.36,2023-05-06,North
ORD-000281,Data Science Guide,Books,2.0,915.63,1831.26,2024-11-29,West
ORD-000282,Power Bank 10000mAh,Electronics,4.0,956.12,3824.48,2023-11-04,Central
ORD-000283,Sports Shorts,Clothing,2.0,800.73,1601.46,2024-06-04,West
ORD-000284,Sunglasses,Clothing,3.0,816.32,2448.96,2023-01-27,East
ORD-000285,Cricket Bat,Sports,1.0,1303.72,1303.72,2024-09-18,South
ORD-000286,Statistics Book,Books,1.0,566.01,566.01,2024-02-24,Central
ORD-000287,Headphones,Electronics,2.0,1430.03,2860.06,2024-04-22,Central
ORD-000288,Cricket Bat,Sports,1.0,1683.7,1683.7,2023-05-13,North
ORD-000289,HD Webcam,Electronics,3.0,,3408.48,2023-11-08,West
ORD-000290,Storage Containers,Home & Kitchen,1.0,363.14,363.14,2023-03-22,East
ORD-000291,Formal Shirt,Clothing,1.0,899.69,899.69,2024-09-21,North
ORD-000292,Cricket Bat,Sports,2.0,1598.22,3196.44,2023-06-25,East
ORD-000293,Yoga Mat,Sports,2.0,1019.97,2039.94,2023-01-30,West
ORD-000294,Desk Lamp,Home & Kitchen,2.0,623.98,1247.96,2024-08-08,East
ORD-000295,Resistance Bands,Sports,1.0,396.96,396.96,2024-10-19,West
ORD-000296,SQL Handbook,Books,6.0,433.12,2598.72,2024-04-09,South
ORD-000297,Cloud Computing,Books,2.0,668.93,1337.86,2023-07-28,Central
ORD-000298,Blender,Home & Kitchen,3.0,1825.25,5475.75,2024-02-13,East
ORD-000299,Desk Lamp,Home & Kitchen,1.0,589.94,589.94,2024-04-22,North
ORD-000300,Power Bank 10000mAh,Electronics,5.0,876.92,4384.6,2024-01-29,Central
ORD-000301,Sports Shorts,Clothing,2.0,633.96,1267.92,2024-08-14,North
ORD-000302,Jump Rope,Sports,2.0,298.76,597.52,2024-05-25,North
ORD-000303,Cloud Computing,Books,1.0,715.95,715.95,2023-09-04,North
ORD-000304,Cloud Computing,Books,1.0,827.01,827.01,2023-10-20,South
ORD-000305,Blender,Home & Kitchen,,1842.36,3684.72,2024-02-17,East
ORD-000306,Sports Shorts,Clothing,2.0,675.17,1350.34,2024-07-20,East
ORD-000307,Resistance Bands,Sports,1.0,353.37,353.37,2024-09-30,Central
ORD-000308,AI Foundations,Books,1.0,958.72,958.72,2023-12-14,North
ORD-000309,Water Bottle Sport,Sports,3.0,300.72,902.16,2024-05-27,West
ORD-000310,Cloud Computing,Books,2.0,752.48,1504.96,2023-06-02,South
ORD-000311,Gym Gloves,Sports,1.0,516.44,516.44,2023-06-16,West
ORD-000312,Gym Gloves,Sports,2.0,503.84,1007.68,2024-06-03,West
ORD-000313,Towel Set,Home & Kitchen,1.0,630.23,630.23,2023-01-18,Central
ORD-000314,Resistance Bands,Sports,3.0,410.6,1231.8,2024-12-05,South
ORD-000315,Football,Sports,1.0,720.02,720.02,2023-02-22,East
ORD-000316,Water Bottle Sport,Sports,2.0,322.01,644.02,2023-06-01,East
ORD-000317,Bluetooth Speaker,Electronics,1.0,1756.14,1756.14,2023-01-20,South
ORD-000318,Sneakers,Clothing,2.0,2251.19,4502.38,2024-05-28,Central
ORD-000319,HD Webcam,Electronics,1.0,1137.02,1137.02,2024-06-15,West
ORD-000320,Water Bottle Sport,Sports,4.0,344.78,1379.12,2023-11-18,East
ORD-000321,Gym Gloves,Sports,4.0,532.07,2128.28,2024-11-23,West
ORD-000322,Towel Set,Home & Kitchen,2.0,559.29,1118.58,2023-07-16,South
ORD-000323,Storage Containers,Home & Kitchen,3.0,370.46,1111.38,2024-12-22,South
ORD-000324,Storage Containers,Home & Kitchen,1.0,367.49,367.49,2023-10-22,South
ORD-000325,AI Foundations,Books,1.0,935.35,935.35,2023-05-30,West
ORD-000326,Towel Set,Home & Kitchen,1.0,595.24,595.24,2024-11-02,North
ORD-000327,Resistance Bands,Sports,2.0,355.58,711.16,2024-07-29,East
ORD-000328,Football,Sports,1.0,896.12,896.12,2023-09-06,North
ORD-000329,Cotton T-Shirt,Clothing,4.0,531.54,2126.16,2023-04-13,North
ORD-000330,Cotton T-Shirt,Clothing,4.0,447.79,1791.16,2024-07-17,West
ORD-000331,Cloud Computing,Books,1.0,853.24,853.24,2024-10-28,South
ORD-000332,USB Keyboard,Electronics,1.0,656.85,656.85,2024-10-29,West
ORD-000333,HD Webcam,Electronics,1.0,1083.28,1083.28,2024-03-03,Central
ORD-000334,Cloud Computing,Books,1.0,852.84,852.84,2023-07-10,Central
